"sampleid","seq_id","clade_name","database_used","kingdom","phylum","class","order","family","genus","species","taxid","clean_relative_abundance"
"AML_007_57","20240830_clin_SSG_AML_007_57","k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Acidipropionibacterium|s__Acidipropionibacterium_acidipropionici","mpa_vJun23_CHOCOPhlAnSGB_202403","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Propionibacteriales","f__Propionibacteriaceae","g__Acidipropionibacterium","s__Acidipropionibacterium_acidipropionici","1748.0","0.001911805854236849"
"AML_007_57","20240830_clin_SSG_AML_007_57","k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris","mpa_vJun23_CHOCOPhlAnSGB_202403","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__Actinomyces_oris","544580.0","0.01839974998441"
"AML_007_57","20240830_clin_SSG_AML_007_57","k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila","mpa_vJun23_CHOCOPhlAnSGB_202403","k__Bacteria","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia_muciniphila","239935.0","8.759242420960641"
"AML_007_57","20240830_clin_SSG_AML_007_57","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii","mpa_vJun23_CHOCOPhlAnSGB_202403","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__Alistipes_finegoldii","214856.0","0.95929555369212"
"AML_007_57","20240830_clin_SSG_AML_007_57","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_caccae","mpa_vJun23_CHOCOPhlAnSGB_202403","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Anaerostipes","s__Anaerostipes_caccae","105841.0","1.04533786803367"
"AML_007_57","20240830_clin_SSG_AML_007_57","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus","mpa_vJun23_CHOCOPhlAnSGB_202403","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Anaerostipes","s__Anaerostipes_hadrus","649756.0","0.16633816021949"
"AML_007_57","20240830_clin_SSG_AML_007_57","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerotignum|s__Anaerotignum_faecicola","mpa_vJun23_CHOCOPhlAnSGB_202403","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Anaerotignum","s__Anaerotignum_faecicola","2358141.0","0.042545968432430005"
"AML_007_57","20240830_clin_SSG_AML_007_57","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Anaerotruncus|s__Anaerotruncus_colihominis","mpa_vJun23_CHOCOPhlAnSGB_202403","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Anaerotruncus","s__Anaerotruncus_colihominis","169435.0","0.16219407238516"
"AML_007_57","20240830_clin_SSG_AML_007_57","k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__bacterium_210917_DFI_7_65","mpa_vJun23_CHOCOPhlAnSGB_202403","k__Bacteria","p__Bacteria_unclassified","c__Bacteria_unclassified","o__Bacteria_unclassified","f__Bacteria_unclassified","g__Bacteria_unclassified","s__bacterium_210917_DFI_7_65","2883295.0","0.08803147650201999"
"AML_007_57","20240830_clin_SSG_AML_007_57","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis","mpa_vJun23_CHOCOPhlAnSGB_202403","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_faecis","674529.0","1.3351587948152701"
"AML_007_57","20240830_clin_SSG_AML_007_57","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris","mpa_vJun23_CHOCOPhlAnSGB_202403","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_stercoris","46506.0","1.6846435355103"
"AML_007_57","20240830_clin_SSG_AML_007_57","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis","mpa_vJun23_CHOCOPhlAnSGB_202403","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_uniformis","820.0","3.2467436310342803"
"AML_007_57","20240830_clin_SSG_AML_007_57","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens","mpa_vJun23_CHOCOPhlAnSGB_202403","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_xylanisolvens","371601.0","3.9107591129044"
"AML_007_57","20240830_clin_SSG_AML_007_57","k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum","mpa_vJun23_CHOCOPhlAnSGB_202403","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","s__Bifidobacterium_longum","216816.0","20.63151257216791"
"AML_007_57","20240830_clin_SSG_AML_007_57","k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia","mpa_vJun23_CHOCOPhlAnSGB_202403","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfovibrionales","f__Desulfovibrionaceae","g__Bilophila","s__Bilophila_wadsworthia","35833.0","1.3954525100795199"
"AML_007_57","20240830_clin_SSG_AML_007_57","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_caecimuris","mpa_vJun23_CHOCOPhlAnSGB_202403","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Blautia","s__Blautia_caecimuris","1796615.0","1.32161039032224"
"AML_007_57","20240830_clin_SSG_AML_007_57","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_faecis","mpa_vJun23_CHOCOPhlAnSGB_202403","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Blautia","s__Blautia_faecis","871665.0","2.46564385421828"
"AML_007_57","20240830_clin_SSG_AML_007_57","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_hansenii","mpa_vJun23_CHOCOPhlAnSGB_202403","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Blautia","s__Blautia_hansenii","1322.0","0.13534038321872"
"AML_007_57","20240830_clin_SSG_AML_007_57","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum","mpa_vJun23_CHOCOPhlAnSGB_202403","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Blautia","s__Blautia_obeum","40520.0","3.76061052249101"
"AML_007_57","20240830_clin_SSG_AML_007_57","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_producta","mpa_vJun23_CHOCOPhlAnSGB_202403","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Blautia","s__Blautia_producta","33035.0","1.3798817907233398"
